date,AAPL_value,AAPL_shares,MSFT_value,MSFT_shares,JPM_value,JPM_shares,XOM_value,XOM_shares,JNJ_value,JNJ_shares,total_value,returns,cumulative_returns
2015-04-28,20554.156171284634,157.43073047858942,20000.0,0.0,20590.55118110236,328.0839895013123,20000.0,0.0,20000.0,0.0,101144.70735238699,-0.001887122924268958,1.0114470735238696
2015-04-29,20251.88916876574,157.43073047858942,20000.0,0.0,20866.141732283464,328.0839895013123,20000.0,0.0,20000.0,0.0,101118.0309010492,-0.00026374540038798244,1.0111803090104918
2015-04-30,19702.455919395466,157.43073047858942,20000.0,0.0,20754.593175853017,328.0839895013123,20000.0,0.0,20000.0,0.0,100457.04909524848,-0.006536735337019595,1.0045704909524846
2015-05-01,20300.692695214104,157.43073047858942,20000.0,0.0,20869.422572178475,328.0839895013123,20000.0,0.0,20000.0,0.0,101170.11526739258,0.007098219374013226,1.0117011526739255
2015-05-04,20261.335012594456,157.43073047858942,20000.0,0.0,21233.595800524934,328.0839895013123,20000.0,0.0,20000.0,0.0,101494.9308131194,0.0032105878783308395,1.0149493081311938
2015-05-05,19804.78589420655,157.43073047858942,20000.0,0.0,21128.608923884516,328.0839895013123,20000.0,0.0,20000.0,0.0,100933.39481809107,-0.0055326506509204565,1.0093339481809105
2015-05-06,19680.415617128463,157.43073047858942,20000.0,0.0,20971.128608923886,328.0839895013123,20000.0,0.0,20000.0,0.0,100651.54422605236,-0.0027924414169034906,1.0065154422605234
2015-05-07,19719.77329974811,157.43073047858942,20000.0,0.0,21161.417322834644,328.0839895013123,20000.0,0.0,20000.0,0.0,100881.19062258276,0.0022815983430382047,1.0088119062258274
2015-05-08,20091.309823677584,157.43073047858942,20000.0,0.0,21486.220472440942,328.0839895013123,20000.0,0.0,20000.0,0.0,101577.53029611852,0.00690257191889132,1.0157753029611851
2015-05-11,19886.649874055416,157.43073047858942,20000.0,0.0,21473.09711286089,328.0839895013123,20000.0,0.0,20000.0,0.0,101359.7469869163,-0.0021440106740864273,1.013597469869163
2015-05-12,19815.018891687658,157.43073047858942,20000.0,0.0,21443.569553805773,328.0839895013123,20000.0,0.0,20000.0,0.0,101258.58844549343,-0.0009980149362047719,1.0125858844549342
2015-05-13,19837.846347607054,157.43073047858942,20000.0,0.0,21496.062992125982,328.0839895013123,20000.0,0.0,20000.0,0.0,101333.90933973304,0.000743846970374884,1.0133390933973305
2015-05-14,20300.692695214104,157.43073047858942,20000.0,0.0,21669.94750656168,328.0839895013123,20000.0,0.0,20000.0,0.0,101970.6402017758,0.006283492526751644,1.019706402017758
2015-05-15,20272.355163727963,157.43073047858942,20000.0,0.0,21614.173228346455,328.0839895013123,20000.0,0.0,20000.0,0.0,101886.52839207441,-0.0008248630148339764,1.0188652839207442
2015-05-18,20495.906801007557,157.43073047858942,20000.0,0.0,21791.338582677166,328.0839895013123,20000.0,0.0,20000.0,0.0,102287.24538368473,0.0039329732589208355,1.0228724538368472
2015-05-19,20477.01668765743,157.43073047858942,20000.0,0.0,21984.90813648294,328.0839895013123,20000.0,0.0,20000.0,0.0,102461.92482414037,0.0017077343299294334,1.0246192482414036
2015-05-20,20475.440806045342,157.43073047858942,20000.0,420.34468263976464,21811.023622047243,328.0839895013123,20000.0,0.0,20000.0,0.0,102286.46442809259,-0.0017124448554810545,1.0228646442809257
2015-05-21,20684.823677581862,157.43073047858942,19932.74485077764,420.34468263976464,21866.797900262467,328.0839895013123,20000.0,0.0,20000.0,0.0,102484.36642862197,0.0019347819052686344,1.0248436642862195
2015-05-22,20865.867443324936,157.43073047858942,19714.165615804963,420.34468263976464,21807.74278215223,328.0839895013123,20000.0,0.0,20000.0,0.0,102387.77584128213,-0.0009424909447737218,1.0238777584128211
2015-05-26,20406.171284634762,157.43073047858942,19583.858764186636,420.34468263976464,21564.96062992126,328.0839895013123,20000.0,0.0,20000.0,0.0,101554.99067874266,-0.008133638568635582,1.0155499067874265
2015-05-27,20787.94080604534,157.43073047858942,20012.610340479194,420.34468263976464,21807.74278215223,328.0839895013123,20000.0,0.0,20000.0,0.0,102608.29392867677,0.01037175271145574,1.0260829392867676
2015-05-28,20746.221662468513,157.43073047858942,19945.355191256833,420.34468263976464,21719.160104986877,328.0839895013123,20000.0,0.0,20000.0,0.0,102410.73695871222,-0.0019253508892942417,1.0241073695871221
2015-05-29,20510.07556675063,157.43073047858942,19697.35182849937,420.34468263976464,21581.364829396323,328.0839895013123,20000.0,0.0,20000.0,0.0,101788.79222464633,-0.006073042266228734,1.0178879222464632
2015-06-01,20550.22040302267,157.43073047858942,19852.879361076084,420.34468263976464,21679.790026246716,328.0839895013123,20000.0,0.0,20000.0,0.0,102082.88979034548,0.002889292222370443,1.0208288979034548
2015-06-02,20459.69930730479,157.43073047858942,19722.572509457757,420.34468263976464,21660.10498687664,328.0839895013123,20000.0,0.0,20000.0,0.0,101842.37680363918,-0.002356055820914249,1.018423768036392
2015-06-03,20484.886649874057,157.43073047858942,19693.148381672974,420.34468263976464,21883.202099737533,328.0839895013123,20000.0,0.0,20000.0,0.0,102061.23713128456,0.002149010407203722,1.0206123713128457
2015-06-04,20365.23929471033,157.43073047858942,19487.17948717949,420.34468263976464,21761.811023622045,328.0839895013123,20000.0,0.0,20000.0,0.0,101614.22980551186,-0.004379795290916477,1.0161422980551185
2015-06-05,20253.461901763225,157.43073047858942,19394.70365699874,420.34468263976464,22119.42257217848,328.0839895013123,20000.0,0.0,20000.0,0.0,101767.58813094044,0.0015092209597229456,1.0176758813094042
2015-06-08,20119.64735516373,157.43073047858942,19222.362337116436,420.34468263976464,21945.538057742782,328.0839895013123,20000.0,0.0,20000.0,0.0,101287.54775002295,-0.004717026213688413,1.0128754775002293
2015-06-09,20059.823677581866,157.43073047858942,19188.734762505257,420.34468263976464,22040.682414698163,328.0839895013123,20000.0,0.0,20000.0,0.0,101289.24085478528,1.6715823415003328e-05,1.0128924085478526
2015-06-10,20289.672544080604,157.43073047858942,19592.26565783943,420.34468263976464,22395.013123359582,328.0839895013123,20000.0,0.0,20000.0,0.0,102276.95132527962,0.009751385854598116,1.0227695132527959
2015-06-11,20244.017632241816,157.43073047858942,19520.80706179067,420.34468263976464,22480.31496062992,328.0839895013123,20000.0,0.0,20000.0,0.0,102245.1396546624,-0.0003110345997314745,1.0224513965466238
