date,permno,ticker,comnam,namedt,nameendt,prc,vol,ret
2024-09-13,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.86,105709.0,0.008627
2024-09-13,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,524.62,10246905.0,-0.001865
2024-09-12,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.75,89732.0,0.011102
2024-09-12,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,525.59998,11920049.0,0.026903
2024-09-11,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,511.82999,10778407.0,0.013946
2024-09-11,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.61,83596.0,0.016936
2024-09-10,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.4,53560.0,0.005677
2024-09-10,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,504.79001,9831063.0,0.0
2024-09-09,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.33,68078.0,0.015651
2024-09-09,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,504.79001,10986400.0,0.009035
2024-09-06,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,500.26999,14594048.0,-0.032098
2024-09-06,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.14,117097.0,-0.028022
2024-09-05,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.49,136327.0,0.003213
2024-09-05,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,516.85999,8510861.0,0.008035
2024-09-04,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.45,91799.0,-0.003203
2024-09-04,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,512.73999,8253375.0,0.001915
2024-09-03,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.49,156568.0,-0.031032
2024-09-03,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,511.76001,12288806.0,-0.018319
2024-08-30,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,521.31,9099263.0,0.005963
2024-08-30,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.89,109681.0,0.007031
2024-08-29,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.8,287385.0,0.000782
2024-08-29,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,518.21997,8228847.0,0.002786
2024-08-28,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.79,164973.0,-0.015396
2024-08-28,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,516.78003,9034156.0,-0.004469
2024-08-27,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,519.09998,6239977.0,-0.003876
2024-08-27,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.99,186047.0,-0.000769
2024-08-26,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.0,172677.0,-0.009146
2024-08-26,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,521.12,9504818.0,-0.01303
2024-08-23,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,528.0,11179379.0,-0.007388
2024-08-23,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.12,229230.0,0.020218
2024-08-22,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.86,173307.0,-0.016067
2024-08-22,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,531.92999,15597469.0,-0.006036
2024-08-21,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,535.15997,13327938.0,0.016004
2024-08-21,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.07,122072.0,0.01554
2024-08-20,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,526.72998,7947878.0,-0.004818
2024-08-20,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.87,164328.0,-0.00464
2024-08-19,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,12.93,126734.0,0.012529
