date,permno,ticker,comnam,prc,vol,ret,retx
2008-04-14,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.65000,25700,-0.000858,-0.000858
2008-04-14,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,39.38000,20100400,-0.012290,-0.012290
2008-04-11,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,39.87000,27743100,-0.009441,-0.009441
2008-04-11,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.66000,54200,0.008650,0.008650
2008-04-10,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,40.25000,32384900,-0.007153,-0.007153
2008-04-10,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.56000,25600,-0.003448,-0.003448
2008-04-09,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,40.54000,34095500,-0.071674,-0.071674
2008-04-09,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.60000,34200,-0.005998,-0.005998
2008-04-08,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.67000,41500,-0.004266,-0.004266
2008-04-08,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,43.67000,21150200,-0.020852,-0.020852
2008-04-07,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.72000,74000,0.038087,0.038087
2008-04-07,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,44.60000,19575600,0.012486,0.012486
2008-04-04,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,44.05000,19408600,0.016851,0.016851
2008-04-04,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.29000,19300,0.000887,0.000887
2008-04-03,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,43.32000,28427900,-0.017018,-0.017018
2008-04-03,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.28000,61300,-0.006167,-0.006167
2008-04-02,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,44.07000,35507000,-0.006089,-0.006089
2008-04-02,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.35000,22400,0.011587,0.011587
2008-04-01,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.22000,35300,0.021858,0.021858
2008-04-01,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,44.34000,77122700,0.178002,0.178002
2008-03-31,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,37.64000,38331100,-0.006073,-0.006073
2008-03-31,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.98000,36800,0.005494,0.005494
2008-03-28,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.92000,28600,-0.012658,-0.012658
2008-03-28,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,37.87000,49101700,-0.021700,-0.021700
2008-03-27,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,38.71000,69168700,-0.088962,-0.088962
2008-03-27,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.06000,29400,0.005455,0.005455
2008-03-26,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,42.49000,23791900,-0.060164,-0.060164
2008-03-26,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.00000,31900,0.008249,0.008249
2008-03-25,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.91000,27600,0.004604,0.004604
2008-03-25,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,45.21000,21400100,-0.030660,-0.030660
2008-03-24,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,46.64000,33438400,-0.041316,-0.041316
2008-03-24,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.86000,48500,0.014006,0.014006
2008-03-20,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.71000,36200,0.011331,0.011331
2008-03-20,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,48.65000,40607700,0.152025,0.152025
2008-03-19,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.59000,27900,0.000936,-0.009354
2008-03-19,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,42.23000,51979300,-0.091633,-0.091633
2008-03-18,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,46.49000,143046900,0.464252,0.464252
2008-03-18,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.69000,62800,-0.003728,-0.003728
2008-03-17,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,31.75000,224596100,-0.191289,-0.191289
2008-03-17,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.73000,125600,-0.027199,-0.027199
2008-03-14,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,39.26000,79455200,-0.146336,-0.146336
2008-03-14,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.03000,118000,-0.008985,-0.008985
2008-03-13,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.13000,53900,-0.000889,-0.000889
2008-03-13,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,45.99000,35223300,0.023137,0.023137
2008-03-12,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,44.95000,24379500,-0.029367,-0.029367
2008-03-12,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.13990,10800,-0.001801,-0.001801
2008-03-11,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,46.31000,41652800,0.077478,0.077478
2008-03-11,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.16000,28900,0.024793,0.024793
2008-03-10,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,42.98000,30881000,-0.072908,-0.072908
2008-03-10,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.89000,98700,-0.034574,-0.034574
2008-03-07,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.28000,22100,-0.000886,-0.000886
2008-03-07,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,46.36000,21634400,0.007169,0.007169
2008-03-06,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,46.03000,26727400,-0.042239,-0.042239
2008-03-06,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.29000,28400,-0.014834,-0.014834
2008-03-05,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.46000,47300,0.007030,0.007030
2008-03-05,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,48.06000,18956600,-0.005998,-0.005998
2008-03-04,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.38000,22600,-0.013865,-0.013865
2008-03-04,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,48.35000,28333900,-0.005349,-0.005349
2008-03-03,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.54000,38600,0.017637,0.017637
2008-03-03,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,48.61000,23572400,-0.046676,-0.046676
2008-02-29,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,50.99000,19654400,-0.067484,-0.067484
2008-02-29,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.34000,78200,-0.030769,-0.030769
2008-02-28,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.70000,56400,-0.002558,-0.002558
2008-02-28,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,54.68000,14228600,-0.048382,-0.048382
2008-02-27,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,57.46000,12561800,0.010908,0.010908
2008-02-27,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.73000,35300,0.004281,0.004281
2008-02-26,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.68000,54200,0.009507,0.009507
2008-02-26,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,56.84000,17729300,0.022854,0.022854
2008-02-25,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.57000,29700,0.017590,0.017590
2008-02-25,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,55.57000,16626100,0.024899,0.024899
2008-02-22,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,54.22000,14981300,0.001478,0.001478
2008-02-22,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.37000,37000,0.007086,0.007086
2008-02-21,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.29000,35300,-0.011384,-0.011384
2008-02-21,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,54.14000,13586400,-0.022567,-0.022567
2008-02-20,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,55.39000,19754300,0.033974,0.033974
2008-02-20,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.42000,96300,0.008749,-0.000875
2008-02-19,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,53.57000,15219600,-0.021910,-0.021910
2008-02-19,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.43000,44900,0.000000,0.000000
2008-02-15,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,54.77000,12827300,0.006987,0.006987
2008-02-15,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.43000,38200,0.015098,0.015098
2008-02-14,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.26000,86100,-0.038429,-0.038429
2008-02-14,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,54.39000,15377700,-0.016634,-0.016634
2008-02-13,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,55.31000,18068800,-0.013864,-0.016886
2008-02-13,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.71000,56800,-0.011814,-0.011814
2008-02-12,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.85000,31700,-0.000843,-0.000843
2008-02-12,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,56.26000,20995500,-0.034163,-0.034163
2008-02-11,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,58.25000,13050800,-0.029814,-0.029814
2008-02-11,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.86000,44700,-0.005868,-0.005868
2008-02-08,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,60.04000,11347500,-0.007275,-0.007275
2008-02-08,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.93000,42400,-0.002508,-0.002508
2008-02-07,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,60.48000,15845300,0.039533,0.039533
2008-02-07,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.96000,36500,-0.001669,-0.001669
2008-02-06,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.98000,34300,-0.003328,-0.003328
