Date,AAPL_value,AAPL_shares,MSFT_value,MSFT_shares,JPM_value,JPM_shares,XOM_value,XOM_shares,JNJ_value,JNJ_shares,total_value,returns,cumulative_returns
2020-06-23 00:00:00-04:00,47095.267377175485,529.8391047343908,79008.77367134215,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23544.724490315162,192.55611629452838,188757.14798615905,0.007586641601435629,1.8875714798615895
2020-06-24 00:00:00-04:00,46263.93756543727,529.8391047343908,77416.15234153019,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23043.701326515486,192.55611629452838,185832.17368080924,-0.015495965776958442,1.8583217368080915
2020-06-25 00:00:00-04:00,46878.11629328856,529.8391047343908,78394.42344558105,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23018.98247571004,192.55611629452838,187399.90466190592,0.00843627317080986,1.8739990466190584
2020-06-26 00:00:00-04:00,45437.74962489369,529.8391047343908,76825.28592566733,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,22712.428178932852,192.55611629452838,184083.8461768201,-0.01769509163341587,1.8408384617682
2020-06-29 00:00:00-04:00,46484.94909507174,529.8391047343908,77650.93415441687,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,22915.1459671055,192.55611629452838,186159.41166392036,0.01127510930593334,1.8615941166392027
2020-06-30 00:00:00-04:00,46872.97037974237,529.8391047343908,79634.85016702578,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23177.201631355823,192.55611629452838,188793.40462545026,0.014149125945268626,1.8879340462545018
2020-07-01 00:00:00-04:00,46784.3175675023,529.8391047343908,80100.51129016893,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23135.99522185612,192.55611629452838,189129.2065268536,0.0017786739005505314,1.8912920652685354
2020-07-02 00:00:00-04:00,46784.3175675023,529.8391047343908,80710.95275928917,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23233.23700080027,192.55611629452838,189836.889774918,0.003741797795592694,1.8983688977491793
2020-07-06 00:00:00-04:00,48035.817485932275,529.8391047343908,82448.35443507822,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23564.50280295,192.55611629452838,193157.05717128678,0.017489579608606975,1.931570571712867
2020-07-07 00:00:00-04:00,47886.75981421005,529.8391047343908,81489.6458762635,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23543.07176791197,192.55611629452838,192027.85990571178,-0.005846005743262328,1.9202785990571172
2020-07-08 00:00:00-04:00,49002.05269655279,529.8391047343908,83281.84519315197,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23612.299534850346,192.55611629452838,195004.57987188137,0.015501500499100596,1.9500457987188133
2020-07-09 00:00:00-04:00,49212.77239909486,529.8391047343908,83864.88158771188,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23483.747113613525,192.55611629452838,195669.78354774654,0.003411220784159008,1.956697835477465
2020-07-10 00:00:00-04:00,49298.86236044075,529.8391047343908,83610.53097557844,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23463.959986459206,192.55611629452838,195481.73576980465,-0.000961046588452974,1.9548173576980459
2020-07-13 00:00:00-04:00,49071.43157651614,529.8391047343908,81027.90601778247,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,23932.03447642882,192.55611629452838,193139.7545180537,-0.011980563005174139,1.9313975451805363
2020-07-14 00:00:00-04:00,49883.49554068077,529.8391047343908,81528.77722074639,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24378.6632404946,192.55611629452838,194899.31844924804,0.00911031462986478,1.9489931844924795
2020-07-15 00:00:00-04:00,50226.54970650783,529.8391047343908,81407.46817664626,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24434.698609939045,192.55611629452838,195177.0989404194,0.001425251218842627,1.9517709894041935
2020-07-16 00:00:00-04:00,49608.530744666845,529.8391047343908,79795.29680961942,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24597.8538964957,192.55611629452838,193110.06389810826,-0.010590561359568818,1.931100638981082
2020-07-17 00:00:00-04:00,49508.30063753573,529.8391047343908,79388.33583020594,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24614.335578843635,192.55611629452838,192619.35449391155,-0.0025410866440167545,1.926193544939115
2020-07-20 00:00:00-04:00,50551.631577263106,529.8391047343908,82800.52402740293,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24655.547864689663,192.55611629452838,197116.08591668197,0.023345169204751715,1.971160859166819
2020-07-21 00:00:00-04:00,49853.94999306951,529.8391047343908,81685.30259867792,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24678.615462178495,192.55611629452838,195326.2505012522,-0.00908010833872952,1.9532625050125212
2020-07-22 00:00:00-04:00,49993.98109374016,529.8391047343908,82859.22417113258,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24723.10821835904,192.55611629452838,196684.69593055805,0.006954750965729284,1.9668469593055797
2020-07-23 00:00:00-04:00,47718.44842196894,529.8391047343908,79255.26924613012,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24657.187365313628,192.55611629452838,190739.28748073895,-0.03022811928345559,1.9073928748073887
2020-07-24 00:00:00-04:00,47600.237935062905,529.8391047343908,78770.0580857721,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24411.628074277047,192.55611629452838,189890.30654243834,-0.004451001938372778,1.8989030654243826
2020-07-27 00:00:00-04:00,48728.36932598594,529.8391047343908,79767.90424308034,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24256.69967257184,192.55611629452838,191861.3556889644,0.010379935566039888,1.9186135568896434
2020-07-28 00:00:00-04:00,47927.88669906392,529.8391047343908,79051.81377246587,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24199.02039524369,192.55611629452838,190287.10331409975,-0.008205156109793887,1.902871033140997
2020-07-29 00:00:00-04:00,48846.57577054041,529.8391047343908,79850.06943467633,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24151.21778699702,192.55611629452838,191956.24543954,0.008771703895692262,1.9195624543954
2020-07-30 00:00:00-04:00,49437.63628977372,529.8391047343908,79787.46678831648,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24200.67017947372,192.55611629452838,192534.1557048902,0.003010635387386884,1.925341557048902
2020-07-31 00:00:00-04:00,54613.18835766612,529.8391047343908,80221.81408025842,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24022.665365760196,192.55611629452838,197966.050251011,0.028212628176200738,1.9796605025101102
2020-08-03 00:00:00-04:00,55989.31801729227,529.8391047343908,84733.59493362767,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24284.715153664194,192.55611629452838,204116.0105519104,0.031065732195503015,2.041160105519104
2020-08-04 00:00:00-04:00,56363.211283232384,529.8391047343908,83461.82311092861,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24263.29587131881,192.55611629452838,203196.71271280607,-0.004503800738700714,2.031967127128061
2020-08-05 00:00:00-04:00,56567.51981618744,529.8391047343908,83324.87278625446,409.86284034366315,24827.91372740677,0.0,14280.468719919516,0.0,24457.769145601043,192.55611629452838,203458.5441953692,0.0012885616064723937,2.034585441953692
